"Identifier","Organisation_Name","Sub_building_Name","Building_Name","Building_Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","Postcode","x_coordinates","y_coordinates"
368329,NA,"FLAT 3 (1ST FLOOR)",NA,"14","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",266974,423204
368331,NA,NA,NA,"212","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SR",268145,423164
368332,NA,NA,NA,"2","ROEVILLE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490BH",267144,423489
368333,NA,NA,NA,"20","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AZ",267145,422434
368334,NA,NA,NA,"4","ROEVILLE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490BH",267154,423495
368336,NA,NA,NA,"72","ROE MILL GARDENS",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AU",267177,422241
368339,NA,NA,NA,"37","GREYSTONE ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490ND",268112,422403
368340,NA,NA,NA,"182","CASTLE PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490SR",268197,423084
368342,NA,NA,NA,"4","SPRINGHILL TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BS",266867,422839
368344,NA,NA,NA,"61","KILLANE ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DJ",267819,423648
368350,NA,NA,NA,"17","RATHBEG DRIVE",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490AQ",267551,422680
368351,NA,NA,NA,"15","GLENVIEW DRIVE",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RZ",267674,422027
368354,NA,NA,NA,"131","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SN",268322,421903
